Codigo;Curso;Creditos;Seccion;Docente;Observaciones;Tipo;Dia;Inicio;Fin;Aula;Prerrequisitos
120253;Antropología Filosófica;4,00;A;DEL MASTRO PUCCIO, Cesare Anibal;;FINAL;LUN;10:30;12:30;A-PEND;
120253;Antropología Filosófica;4,00;A;DEL MASTRO PUCCIO, Cesare Anibal;;PARCIAL;LUN;10:30;12:30;A-PEND;
120253;Antropología Filosófica;4,00;A;DEL MASTRO PUCCIO, Cesare Anibal;;CLASE;LUN;11:30;13:20;J-503;
120253;Antropología Filosófica;4,00;A;DEL MASTRO PUCCIO, Cesare Anibal;;CLASE;MIE;11:30;13:20;J-503;
120281;Cine y Literatura;3,00;A;NASSI PERIC, Bruno Fernando;;CLASE;MIE;10:30;13:20;B-306;
120259;Cultura, Visualidad y Política;4,00;A;LEON GEYER, Andres Michael;;CLASE;VIE;11:30;13:20;A-303;
120259;Cultura, Visualidad y Política;4,00;A;LEON GEYER, Andres Michael;;FINAL;MIE;10:30;12:30;A-PEND;
120259;Cultura, Visualidad y Política;4,00;A;LEON GEYER, Andres Michael;;PARCIAL;MIE;10:30;12:30;A-PEND;
120259;Cultura, Visualidad y Política;4,00;A;LEON GEYER, Andres Michael;;CLASE;LUN;11:30;13:20;X -301;
120245;Curaduría Digital de Contenidos Culturales;4,00;A;PARDO GRAU, Cecilia Maria Luisa;;FINAL;VIE;13:30;15:30;A-PEND;120244 Introducción a las Humanidades Digitales
120245;Curaduría Digital de Contenidos Culturales;4,00;A;PARDO GRAU, Cecilia Maria Luisa;;PARCIAL;VIE;13:30;15:30;A-PEND;120244 Introducción a las Humanidades Digitales
120245;Curaduría Digital de Contenidos Culturales;4,00;A;PARDO GRAU, Cecilia Maria Luisa;;CLASE;JUE;11:30;13:20;J-603;120244 Introducción a las Humanidades Digitales
120245;Curaduría Digital de Contenidos Culturales;4,00;A;PARDO GRAU, Cecilia Maria Luisa;;CLASE;MAR;11:30;13:20;J-603;120244 Introducción a las Humanidades Digitales
120289;Dios, Existencia Humana y Sociedad;4,00;A;PIEDRA VALDEZ, Jose Leopoldo;;CLASE;JUE;15:30;17:20;B-303;
120289;Dios, Existencia Humana y Sociedad;4,00;A;PIEDRA VALDEZ, Jose Leopoldo;;CLASE;MAR;15:30;17:20;B-303;
120133;Ética;4,00;A;VARGAS DELLA CASA, Rosa Elvira;;FINAL;LUN;16:30;18:30;A-PEND;
120133;Ética;4,00;A;VARGAS DELLA CASA, Rosa Elvira;;PARCIAL;LUN;16:30;18:30;A-PEND;
120133;Ética;4,00;A;VARGAS DELLA CASA, Rosa Elvira;;CLASE;JUE;16:30;18:20;X -301;
120133;Ética;4,00;A;VARGAS DELLA CASA, Rosa Elvira;;CLASE;MAR;16:30;18:20;X -301;
120133;Ética;4,00;AA;TALAVERA CABREJOS, Gonzalo;;CLASE;JUE;17:30;19:20;A-504;
120133;Ética;4,00;AA;TALAVERA CABREJOS, Gonzalo;;FINAL;LUN;16:30;18:30;A-PEND;
120133;Ética;4,00;AA;TALAVERA CABREJOS, Gonzalo;;PARCIAL;LUN;16:30;18:30;A-PEND;
120133;Ética;4,00;AA;TALAVERA CABREJOS, Gonzalo;;CLASE;MAR;17:30;19:20;X -202;
120133;Ética;4,00;AB;TALAVERA CABREJOS, Gonzalo;;CLASE;JUE;11:30;13:20;A-408;
120133;Ética;4,00;AB;TALAVERA CABREJOS, Gonzalo;;CLASE;MAR;11:30;13:20;A-507;
120133;Ética;4,00;AB;TALAVERA CABREJOS, Gonzalo;;FINAL;LUN;16:30;18:30;A-PEND;
120133;Ética;4,00;AB;TALAVERA CABREJOS, Gonzalo;;PARCIAL;LUN;16:30;18:30;A-PEND;
